Feature,Category
Number Of Letters,Count
Number of Tokens,Count
Number of Word Types,Count
Number of Syntactic Constituents: Prepositional Phrase,Count
Number of POS Feature: Noun Lemma Types,Count
Lexical Sophistication Feature: Age of Acquisition (LW Type),Lexical
Number of Tokens with More Than 2 Syllables,Count
Number of POS Feature: Noun Types,Count
Number of POS Feature: Noun Tokens,Count
Lexical Richness: Type Token Ratio (Root TTR Nouns),Lexical
Number of syllables,Count
Number of POS Feature: Lexical word Tokens,Count
Lexical Richness: Type Token Ratio (STTR),Lexical
Number of Word Tokens (including Punctuation and Numbers),Count
Number of Word Types (including Punctuation and Numbers),Count
Lexical Richness: Type Token Ratio (Corrected TTR),Lexical
Number of POS Feature: Lexical word Types,Count
Number of POS Feature: Lexical word Lemma Types,Count
Lexical Richness: Type Token Ratio (Root TTR Lexical Words),Lexical
Mean Sentence Length in Syllables,Count
Lexical Richness: Type Token Ratio (STTR Words),Lexical
POS Density Feature: Interjection,Lexical
Lexical Richness: Type Token Ratio (STTR Lexical Words),Lexical
Number of Word Tokens (excluding punctuation and numbers),Count
Lexical Richness: Type Token Ratio (Corrected TTR Nouns),Lexical
Lexical Richness: Type Token Ratio (Corrected TTR Lexical Words),Lexical
Morphological Complexity Inflection Feature: First Person per word token,Morphological
Lexical Sophistication Feature: SUBTLEX Word Frequency per Million (AW Type),Lexical
Lexical Richness: Type Token Ratio (Root TTR Words),Lexical
Number of Word Types with More Than 2 Syllables,Count
Number of Unique Words,Count
Lexical Sophistication Feature: SUBTLEX Word Frequency per Million (SD AW Type),Lexical
Lexical Sophistication Feature: SUBTLEX Logarithmic Word Frequency (AW Type),Lexical
SD Global Edit Distance for tokens,Lexical
Lexical Sophistication Feature: Age of Acquisition (AW Token),Lexical
Lexical Richness: Type Token Ratio (STTR Nouns),Lexical
Number of Syntactic Constituents: Complex Noun Phrase,Count
Number of Syntactic Constituents: Noun Phrase,Count
Mean Sentence Length in Letters,Count
Syntactic Complexity Feature: Prepositional Phrases per Sentence,Syntactic
Lexical Sophistication Feature: Concreteness (AW Type),Lexical
Lexical Richness: Type Token Ratio (Corrected TTR Words),Lexical
Lexical Sophistication Feature: SUBTLEX Contextual Diversity (V Token),Lexical
Number of Sentences,Count
Number of Syntactic Constituents: Sentences,Count
Lexical Sophistication Feature: SUBTLEX Logarithmic Contextual Diversity (V Type),Lexical
Lexical Richness: Type Token Ratio (Root TTR),Lexical
